district_label_bn,source_division,source_district,source_upazila,canonical_division,canonical_district,canonical_upazila,resolution_type,reason
খুলনা পোস্ট কোড,Khulna,Khulna,Terakhada,Khulna,Khulna,Terokhada,safe_candidate,high_similarity:0.889;margin:0.333
গাইবান্ধা পোস্ট কোড,Rangpur,Gaibandha,Gobindagonj,Rangpur,Gaibandha,Gobindaganj,safe_candidate,high_similarity:0.909;margin:0.338
গাইবান্ধা পোস্ট কোড,Rangpur,Gaibandha,Palashbari,Rangpur,Gaibandha,Palashbari,exact,exact
গাইবান্ধা পোস্ট কোড,Rangpur,Gaibandha,Sadar,Rangpur,Gaibandha,Gaibandha Sadar,safe_candidate,unique_district_sadar
গাইবান্ধা পোস্ট কোড,Rangpur,Gaibandha,Sadullahpur,Rangpur,Gaibandha,Sadullapur,safe_candidate,high_similarity:0.952;margin:0.476
গাইবান্ধা পোস্ট কোড,Rangpur,Gaibandha,Sundargonj,Rangpur,Gaibandha,Sundarganj,safe_candidate,high_similarity:0.900;margin:0.329
গাজীপুর পোস্ট কোড,Dhaka,Gazipur,Kapasia,Dhaka,Gazipur,Kapasia,exact,exact
গাজীপুর পোস্ট কোড,Dhaka,Gazipur,Sreepur,Dhaka,Gazipur,Sreepur,exact,exact
গাজীপুর পোস্ট কোড,Dhaka,Gazipur,kaliakair,Dhaka,Gazipur,Kaliakair,exact,exact
গোপালগঞ্জ পোস্ট কোড,Dhaka,Gopalganj,Kasiani,Dhaka,Gopalganj,Kashiani,safe_candidate,high_similarity:0.933;margin:0.462
গোপালগঞ্জ পোস্ট কোড,Dhaka,Gopalganj,Kotalipara,Dhaka,Gopalganj,Kotalipara,exact,exact
গোপালগঞ্জ পোস্ট কোড,Dhaka,Gopalganj,Maksudpur,Dhaka,Gopalganj,Muksudpur,safe_candidate,high_similarity:0.889;margin:0.541
গোপালগঞ্জ পোস্ট কোড,Dhaka,Gopalganj,Sadar,Dhaka,Gopalganj,Gopalganj Sadar,safe_candidate,unique_district_sadar
গোপালগঞ্জ পোস্ট কোড,Dhaka,Gopalganj,Tongipara,Dhaka,Gopalganj,Tungipara,safe_candidate,high_similarity:0.889;margin:0.257
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,Anowara,Chattogram,Chattogram,Anwara,safe_candidate,high_similarity:0.923;margin:0.308
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,Boalkhali,Chattogram,Chattogram,Boalkhali,exact,exact
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,Chandgaon,Chattogram,Chattogram,Chandgaon,exact,exact
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,East Zoara (Chandanaish),Chattogram,Chattogram,Chandanaish,parenthetical,parenthetical
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,Fatikchari,Chattogram,Chattogram,Fatikchhari,safe_candidate,high_similarity:0.952;margin:0.320
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,Hathazari,Chattogram,Chattogram,Hathazari,exact,exact
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,Karnafhuli,Chattogram,Chattogram,Karnafuli,safe_candidate,high_similarity:0.947;margin:0.359
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,Mireshwarai,Chattogram,Chattogram,Mirsharai,safe_candidate,high_similarity:0.900;margin:0.400
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,Patiya,Chattogram,Chattogram,Patiya,exact,exact
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,Raozan,Chattogram,Chattogram,Raozan,exact,exact
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,Sandwip,Chattogram,Chattogram,Sandwip,exact,exact
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,Satkania,Chattogram,Chattogram,Satkania,exact,exact
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,Sitakundu,Chattogram,Chattogram,Sitakunda,safe_candidate,high_similarity:0.889;margin:0.389
চাঁদপুর পোস্ট কোড,Chattogram,Chandpur,Faridgonj,Chattogram,Chandpur,Faridgonj,exact,exact
চাঁদপুর পোস্ট কোড,Chattogram,Chandpur,Haimchar,Chattogram,Chandpur,Haimchar,exact,exact
চাঁদপুর পোস্ট কোড,Chattogram,Chandpur,Kachua,Chattogram,Chandpur,Kachua,exact,exact
চাঁদপুর পোস্ট কোড,Chattogram,Chandpur,Sadar,Chattogram,Chandpur,Chandpur Sadar,safe_candidate,unique_district_sadar
চাঁদপুর পোস্ট কোড,Chattogram,Chandpur,Shahrasti,Chattogram,Chandpur,Shahrasti,exact,exact
চাঁপাইনবাবগঞ্জ পোস্ট কোড,Rajshahi,Chapainawabganj,Bholahat,Rajshahi,Chapainawabganj,Bholahat,exact,exact
চাঁপাইনবাবগঞ্জ পোস্ট কোড,Rajshahi,Chapainawabganj,Rohanpur (Gomostapur),Rajshahi,Chapainawabganj,Gomostapur,parenthetical,parenthetical
চাঁপাইনবাবগঞ্জ পোস্ট কোড,Rajshahi,Chapainawabganj,Sadar,Rajshahi,Chapainawabganj,Chapainawabganj Sadar,safe_candidate,unique_district_sadar
চুয়াডাঙ্গা পোস্ট কোড,Khulna,Chuadanga,Alamdanga,Khulna,Chuadanga,Alamdanga,exact,exact
চুয়াডাঙ্গা পোস্ট কোড,Khulna,Chuadanga,Damurhuda,Khulna,Chuadanga,Damurhuda,exact,exact
চুয়াডাঙ্গা পোস্ট কোড,Khulna,Chuadanga,Daulagonj (Jibannagar),Khulna,Chuadanga,Jibannagar,parenthetical,parenthetical
চুয়াডাঙ্গা পোস্ট কোড,Khulna,Chuadanga,Sadar,Khulna,Chuadanga,Chuadanga Sadar,safe_candidate,unique_district_sadar
জামালপুর পোস্ট কোড,Mymensingh,Jamalpur,Dewangonj,Mymensingh,Jamalpur,Dewangonj,exact,exact
জামালপুর পোস্ট কোড,Mymensingh,Jamalpur,Islampur,Mymensingh,Jamalpur,Islampur,exact,exact
জামালপুর পোস্ট কোড,Mymensingh,Jamalpur,Madargonj,Mymensingh,Jamalpur,Madarganj,safe_candidate,high_similarity:0.889;margin:0.333
জামালপুর পোস্ট কোড,Mymensingh,Jamalpur,Melandah,Mymensingh,Jamalpur,Melandah,exact,exact
জামালপুর পোস্ট কোড,Mymensingh,Jamalpur,Sadar,Mymensingh,Jamalpur,Jamalpur Sadar,safe_candidate,unique_district_sadar
জামালপুর পোস্ট কোড,Mymensingh,Jamalpur,Sarishabari,Mymensingh,Jamalpur,Sarishabari,exact,exact
জয়পুরহাট পোস্ট কোড,Rajshahi,Joypurhat,Akkelpur,Rajshahi,Joypurhat,Akkelpur,exact,exact
জয়পুরহাট পোস্ট কোড,Rajshahi,Joypurhat,Kalai,Rajshahi,Joypurhat,Kalai,exact,exact
জয়পুরহাট পোস্ট কোড,Rajshahi,Joypurhat,Khetal,Rajshahi,Joypurhat,Khetlal,safe_candidate,high_similarity:0.923;margin:0.378
জয়পুরহাট পোস্ট কোড,Rajshahi,Joypurhat,Panchbibi,Rajshahi,Joypurhat,Panchbibi,exact,exact
জয়পুরহাট পোস্ট কোড,Rajshahi,Joypurhat,Sadar,Rajshahi,Joypurhat,Joypurhat Sadar,safe_candidate,unique_district_sadar
ঝালকাঠি পোস্ট কোড,Barisal,Jhalakathi,Kathalia,Barisal,Jhalakathi,Kathalia,exact,exact
ঝালকাঠি পোস্ট কোড,Barisal,Jhalakathi,Rajapur,Barisal,Jhalakathi,Rajapur,exact,exact
ঝালকাঠি পোস্ট কোড,Barisal,Jhalakathi,Sadar,Barisal,Jhalakathi,Jhalakathi Sadar,safe_candidate,unique_district_sadar
ঝিনাইদহ পোস্ট কোড,Khulna,Jhenaidah,Harina Kunda,Khulna,Jhenaidah,Harinakundu,safe_candidate,high_similarity:0.909;margin:0.309
ঝিনাইদহ পোস্ট কোড,Khulna,Jhenaidah,Maheshpur,Khulna,Jhenaidah,Moheshpur,safe_candidate,high_similarity:0.889;margin:0.489
ঝিনাইদহ পোস্ট কোড,Khulna,Jhenaidah,Sadar,Khulna,Jhenaidah,Jhenaidah Sadar,safe_candidate,unique_district_sadar
ঝিনাইদহ পোস্ট কোড,Khulna,Jhenaidah,Shailakupa,Khulna,Jhenaidah,Shailkupa,safe_candidate,high_similarity:0.947;margin:0.376
টাঙ্গাইল পোস্ট কোড,Dhaka,Tangail,Basail,Dhaka,Tangail,Basail,exact,exact
টাঙ্গাইল পোস্ট কোড,Dhaka,Tangail,Bhuapur,Dhaka,Tangail,Bhuapur,exact,exact
টাঙ্গাইল পোস্ট কোড,Dhaka,Tangail,Ghatail,Dhaka,Tangail,Ghatail,exact,exact
টাঙ্গাইল পোস্ট কোড,Dhaka,Tangail,Gopalpur,Dhaka,Tangail,Gopalpur,exact,exact
টাঙ্গাইল পোস্ট কোড,Dhaka,Tangail,Kalihati,Dhaka,Tangail,Kalihati,exact,exact
টাঙ্গাইল পোস্ট কোড,Dhaka,Tangail,Madhupur,Dhaka,Tangail,Madhupur,exact,exact
টাঙ্গাইল পোস্ট কোড,Dhaka,Tangail,Mirzapur,Dhaka,Tangail,Mirzapur,exact,exact
টাঙ্গাইল পোস্ট কোড,Dhaka,Tangail,Nagarpur,Dhaka,Tangail,Nagarpur,exact,exact
টাঙ্গাইল পোস্ট কোড,Dhaka,Tangail,Sadar,Dhaka,Tangail,Tangail Sadar,safe_candidate,unique_district_sadar
টাঙ্গাইল পোস্ট কোড,Dhaka,Tangail,Shakhipur,Dhaka,Tangail,Sakhipur,safe_candidate,high_similarity:0.941;margin:0.316
ঠাকুরগাঁও পোস্ট কোড,Rangpur,Thakurgaon,Baliadangi,Rangpur,Thakurgaon,Baliadangi,exact,exact
ঠাকুরগাঁও পোস্ট কোড,Rangpur,Thakurgaon,Rani Shakail,Rangpur,Thakurgaon,Ranisankail,safe_candidate,high_similarity:0.909;margin:0.576
ঠাকুরগাঁও পোস্ট কোড,Rangpur,Thakurgaon,Sadar,Rangpur,Thakurgaon,Thakurgaon Sadar,safe_candidate,unique_district_sadar
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Banani,Dhaka,Dhaka,Banani,exact,exact
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Demra,Dhaka,Dhaka,Demra,exact,exact
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Dhamrai,Dhaka,Dhaka,Dhamrai,exact,exact
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Dhanmondi,Dhaka,Dhaka,Dhanmondi,exact,exact
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Gulshan,Dhaka,Dhaka,Gulshan,exact,exact
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Joypara (Dohar),Dhaka,Dhaka,Dohar,parenthetical,parenthetical
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Kamrangirchar,Dhaka,Dhaka,Kamrangir Char,normalized,normalized
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Keranigonj,Dhaka,Dhaka,Keraniganj,safe_candidate,high_similarity:0.900;margin:0.180
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Khilgaon,Dhaka,Dhaka,Khilgaon,exact,exact
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Khilkhet,Dhaka,Dhaka,Khilkhet,exact,exact
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Mirpur,Dhaka,Dhaka,Mirpur,exact,exact
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Mohammadpur,Dhaka,Dhaka,Mohammadpur,exact,exact
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Motijheel,Dhaka,Dhaka,Motijheel,exact,exact
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Nawabgonj,Dhaka,Dhaka,Nawabganj,safe_candidate,high_similarity:0.889;margin:0.333
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Savar,Dhaka,Dhaka,Savar,exact,exact
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Tejgaon,Dhaka,Dhaka,Tejgaon,exact,exact
দিনাজপুর পোস্ট কোড,Rangpur,Dinajpur,Banla Hili (Hakimpur),Rangpur,Dinajpur,Hakimpur,parenthetical,parenthetical
দিনাজপুর পোস্ট কোড,Rangpur,Dinajpur,Birampur,Rangpur,Dinajpur,Birampur,exact,exact
দিনাজপুর পোস্ট কোড,Rangpur,Dinajpur,Chirir Bandar,Rangpur,Dinajpur,Chirirbandar,normalized,normalized
দিনাজপুর পোস্ট কোড,Rangpur,Dinajpur,Fulbari,Rangpur,Dinajpur,Fulbari,exact,exact
দিনাজপুর পোস্ট কোড,Rangpur,Dinajpur,Khansama,Rangpur,Dinajpur,Khansama,exact,exact
দিনাজপুর পোস্ট কোড,Rangpur,Dinajpur,Osmanpur (Ghoraghat),Rangpur,Dinajpur,Ghoraghat,parenthetical,parenthetical
দিনাজপুর পোস্ট কোড,Rangpur,Dinajpur,Parbatipur,Rangpur,Dinajpur,Parbatipur,exact,exact
দিনাজপুর পোস্ট কোড,Rangpur,Dinajpur,Sadar,Rangpur,Dinajpur,Dinajpur Sadar,safe_candidate,unique_district_sadar
নওগাঁ পোস্ট কোড,Rajshahi,Naogaon,Badalgachi,Rajshahi,Naogaon,Badalgachi,exact,exact
নওগাঁ পোস্ট কোড,Rajshahi,Naogaon,Dhamuirhat,Rajshahi,Naogaon,Dhamoirhat,safe_candidate,high_similarity:0.900;margin:0.479
নওগাঁ পোস্ট কোড,Rajshahi,Naogaon,Niamatpur,Rajshahi,Naogaon,Niamatpur,exact,exact
নওগাঁ পোস্ট কোড,Rajshahi,Naogaon,Patmitala,Rajshahi,Naogaon,Patnitala,safe_candidate,high_similarity:0.889;margin:0.445
নওগাঁ পোস্ট কোড,Rajshahi,Naogaon,Prasadpur (Manda),Rajshahi,Naogaon,Manda,parenthetical,parenthetical
নওগাঁ পোস্ট কোড,Rajshahi,Naogaon,Raninagar,Rajshahi,Naogaon,Raninagar,exact,exact
নওগাঁ পোস্ট কোড,Rajshahi,Naogaon,Sadar,Rajshahi,Naogaon,Naogaon Sadar,safe_candidate,unique_district_sadar
নওগাঁ পোস্ট কোড,Rajshahi,Naogaon,Sapahar,Rajshahi,Naogaon,Sapahar,exact,exact
নরসিংদী পোস্ট কোড,Dhaka,Narsingdi,Belabo,Dhaka,Narsingdi,Belabo,exact,exact
নরসিংদী পোস্ট কোড,Dhaka,Narsingdi,Monohardi,Dhaka,Narsingdi,Monohardi,exact,exact
নরসিংদী পোস্ট কোড,Dhaka,Narsingdi,Palash,Dhaka,Narsingdi,Palash,exact,exact
নরসিংদী পোস্ট কোড,Dhaka,Narsingdi,Raipura,Dhaka,Narsingdi,Raipura,exact,exact
নরসিংদী পোস্ট কোড,Dhaka,Narsingdi,Sadar,Dhaka,Narsingdi,Narsingdi Sadar,safe_candidate,unique_district_sadar
নরসিংদী পোস্ট কোড,Dhaka,Narsingdi,Shibpur,Dhaka,Narsingdi,Shibpur,exact,exact
নাটোর পোস্ট কোড,Rajshahi,Natore,Gopalpur (Lalpur),Rajshahi,Natore,Lalpur,parenthetical,parenthetical
নাটোর পোস্ট কোড,Rajshahi,Natore,Harua (Baraigram),Rajshahi,Natore,Baraigram,parenthetical,parenthetical
নাটোর পোস্ট কোড,Rajshahi,Natore,Hatgurudaspur (Gurudaspur),Rajshahi,Natore,Gurudaspur,parenthetical,parenthetical
নাটোর পোস্ট কোড,Rajshahi,Natore,Lakkanhati (Bagatipara),Rajshahi,Natore,Bagatipara,parenthetical,parenthetical
নাটোর পোস্ট কোড,Rajshahi,Natore,Sadar,Rajshahi,Natore,Natore Sadar,safe_candidate,unique_district_sadar
নাটোর পোস্ট কোড,Rajshahi,Natore,Singrha,Rajshahi,Natore,Singra,safe_candidate,high_similarity:0.923;margin:0.423
নারায়নগঞ্জ পোস্ট কোড,Dhaka,Narayanganj,Arhaihazar,Dhaka,Narayanganj,Araihazar,safe_candidate,high_similarity:0.947;margin:0.485
নারায়নগঞ্জ পোস্ট কোড,Dhaka,Narayanganj,Bandar,Dhaka,Narayanganj,Bandar,exact,exact
নারায়নগঞ্জ পোস্ট কোড,Dhaka,Narayanganj,Sadar,Dhaka,Narayanganj,Narayanganj Sadar,safe_candidate,unique_district_sadar
নারায়নগঞ্জ পোস্ট কোড,Dhaka,Narayanganj,Sonargaon,Dhaka,Narayanganj,Sonargaon,exact,exact
নীলফামারী পোস্ট কোড,Rangpur,Nilphamari,Dimla,Rangpur,Nilphamari,Dimla,exact,exact
নীলফামারী পোস্ট কোড,Rangpur,Nilphamari,Domar,Rangpur,Nilphamari,Domar,exact,exact
নীলফামারী পোস্ট কোড,Rangpur,Nilphamari,Jaldhaka,Rangpur,Nilphamari,Jaldhaka,exact,exact
নীলফামারী পোস্ট কোড,Rangpur,Nilphamari,Sadar,Rangpur,Nilphamari,Nilphamari Sadar,safe_candidate,unique_district_sadar
নীলফামারী পোস্ট কোড,Rangpur,Nilphamari,Sayedpur,Rangpur,Nilphamari,Syedpur,safe_candidate,high_similarity:0.933;margin:0.585
নেত্রকোনা পোস্ট কোড,Mymensingh,Netrokona,Atpara,Mymensingh,Netrokona,Atpara,exact,exact
নেত্রকোনা পোস্ট কোড,Mymensingh,Netrokona,Barhatta,Mymensingh,Netrokona,Barhatta,exact,exact
নেত্রকোনা পোস্ট কোড,Mymensingh,Netrokona,Kamakanda,Mymensingh,Netrokona,Kalmakanda,safe_candidate,high_similarity:0.947;margin:0.376
নেত্রকোনা পোস্ট কোড,Mymensingh,Netrokona,Kendua,Mymensingh,Netrokona,Kendua,exact,exact
নেত্রকোনা পোস্ট কোড,Mymensingh,Netrokona,Khaliajuri,Mymensingh,Netrokona,Khaliajuri,exact,exact
নেত্রকোনা পোস্ট কোড,Mymensingh,Netrokona,Madan,Mymensingh,Netrokona,Madan,exact,exact
নেত্রকোনা পোস্ট কোড,Mymensingh,Netrokona,Mohangonj,Mymensingh,Netrokona,Mohongonj,safe_candidate,high_similarity:0.889;margin:0.460
নেত্রকোনা পোস্ট কোড,Mymensingh,Netrokona,Purbadhala,Mymensingh,Netrokona,Purbadhala,exact,exact
নেত্রকোনা পোস্ট কোড,Mymensingh,Netrokona,Sadar,Mymensingh,Netrokona,Netrokona Sadar,safe_candidate,unique_district_sadar
নোয়াখালী পোস্ট কোড,Chattogram,Noakhali,Begumgonj,Chattogram,Noakhali,Begumganj,safe_candidate,high_similarity:0.889;margin:0.589
নোয়াখালী পোস্ট কোড,Chattogram,Noakhali,Chatkhil,Chattogram,Noakhali,Chatkhil,exact,exact
নোয়াখালী পোস্ট কোড,Chattogram,Noakhali,Sadar,Chattogram,Noakhali,Noakhali Sadar,safe_candidate,unique_district_sadar
নড়াইল পোস্ট কোড,Khulna,Narail,Kalia,Khulna,Narail,Kalia,exact,exact
নড়াইল পোস্ট কোড,Khulna,Narail,Lakshmipasa (Lohagara),Khulna,Narail,Lohagara,parenthetical,parenthetical
নড়াইল পোস্ট কোড,Khulna,Narail,Sadar,Khulna,Narail,Narail Sadar,safe_candidate,unique_district_sadar
পঞ্চগড় পোস্ট কোড,Rangpur,Panchagarh,Boda,Rangpur,Panchagarh,Boda,exact,exact
পঞ্চগড় পোস্ট কোড,Rangpur,Panchagarh,Sadar,Rangpur,Panchagarh,Panchagarh Sadar,safe_candidate,unique_district_sadar
পঞ্চগড় পোস্ট কোড,Rangpur,Panchagarh,Tetulia,Rangpur,Panchagarh,Tetulia,exact,exact
পটুয়াখালী পোস্ট কোড,Barisal,Patuakhali,Dasmina,Barisal,Patuakhali,Dashmina,safe_candidate,high_similarity:0.933;margin:0.433
পটুয়াখালী পোস্ট কোড,Barisal,Patuakhali,Golachipa,Barisal,Patuakhali,Galachipa,safe_candidate,high_similarity:0.889;margin:0.418
পটুয়াখালী পোস্ট কোড,Barisal,Patuakhali,Sadar,Barisal,Patuakhali,Patuakhali Sadar,safe_candidate,unique_district_sadar
পাবনা পোস্ট কোড,Rajshahi,Pabna,Bera,Rajshahi,Pabna,Bera,exact,exact
পাবনা পোস্ট কোড,Rajshahi,Pabna,Chat Mohar,Rajshahi,Pabna,Chatmohar,normalized,normalized
